,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ARR_DELAY
37271,2005,2,7,CO,TPA,FL,1330,132.0,787.0,0.0,14.0,24.0,0.0,0.0,38.0
37272,2005,2,3,CO,SFO,CA,1440,261.0,1635.0,0.0,0.0,21.0,0.0,8.0,29.0
37273,2005,2,7,CO,RSW,FL,1910,133.0,861.0,13.0,0.0,0.0,0.0,13.0,26.0
37274,2005,2,3,CO,MSY,LA,1430,69.0,305.0,2.0,0.0,8.0,0.0,8.0,18.0
37275,2005,2,1,CO,MSY,LA,920,65.0,305.0,0.0,0.0,16.0,0.0,0.0,16.0
37276,2005,2,2,CO,GPT,MS,1900,76.0,376.0,0.0,0.0,55.0,0.0,0.0,55.0
37277,2005,2,4,CO,DCA,VA,1735,163.0,1208.0,0.0,0.0,16.0,0.0,0.0,16.0
37278,2005,2,7,CO,HNL,HI,935,510.0,3904.0,0.0,0.0,19.0,0.0,0.0,19.0
37279,2005,2,3,CO,EWR,NJ,1055,209.0,1400.0,37.0,0.0,7.0,0.0,0.0,44.0
37280,2005,2,1,CO,LGA,NY,1325,202.0,1416.0,6.0,0.0,32.0,0.0,0.0,38.0
37281,2005,2,7,CO,LAX,CA,920,216.0,1379.0,0.0,0.0,14.0,7.0,0.0,21.0
37282,2005,2,4,CO,ATL,GA,800,119.0,689.0,0.0,0.0,59.0,0.0,0.0,59.0
37283,2005,2,7,CO,MCO,FL,1045,127.0,853.0,0.0,0.0,118.0,0.0,0.0,118.0
37284,2005,2,2,CO,PHL,PA,1300,200.0,1324.0,21.0,0.0,4.0,0.0,0.0,25.0
37285,2005,2,3,CO,DTW,MI,750,164.0,1076.0,0.0,0.0,21.0,0.0,0.0,21.0
37286,2005,2,5,CO,OAK,CA,2054,247.0,1628.0,17.0,0.0,6.0,0.0,0.0,23.0
37287,2005,2,7,CO,ABQ,NM,1150,136.0,744.0,0.0,0.0,45.0,0.0,0.0,45.0
37288,2005,2,1,CO,EWR,NJ,1055,204.0,1400.0,7.0,0.0,11.0,0.0,0.0,18.0
