,YEAR,MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,DEST,DEST_STATE_ABR,CRS_DEP_TIME,CRS_ARR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
51755,2006,2,4,XE,LIT,AR,1430,1550,374.0,1,0,0,0,1
51756,2006,2,6,XE,DSM,IA,1105,1318,802.0,0,0,1,0,0
51757,2006,2,1,XE,RDU,NC,735,1105,1043.0,1,0,1,0,0
51758,2006,2,1,XE,TUL,OK,1140,1305,429.0,1,0,1,0,0
51759,2006,2,3,XE,SHV,LA,2120,2217,192.0,0,0,0,1,0
51760,2006,2,1,XE,BOI,ID,1805,2104,1482.0,0,0,1,0,0
51761,2006,2,5,XE,MCI,MO,1530,1727,643.0,1,0,0,0,1
51762,2006,2,6,XE,TUL,OK,1310,1438,429.0,1,0,1,0,0
51763,2006,2,6,XE,HRL,TX,1420,1532,295.0,1,0,0,0,0
51764,2006,2,6,XE,ATL,GA,1345,1657,689.0,0,0,1,0,0
51765,2006,2,1,XE,AMA,TX,1420,1600,519.0,0,0,1,0,1
51766,2006,2,2,XE,VPS,FL,1855,2034,528.0,0,0,1,0,1
51767,2006,2,1,XE,SAT,TX,745,847,191.0,0,0,1,1,0
51768,2006,2,6,XE,BOI,ID,925,1222,1482.0,0,0,1,0,0
51769,2006,2,4,XE,PNS,FL,1310,1440,489.0,1,0,1,0,1
51770,2006,2,7,XE,OMA,NE,1435,1648,781.0,0,0,1,0,0
51771,2006,2,3,XE,OKC,OK,1140,1300,395.0,0,1,1,0,1
51772,2006,2,5,XE,MGM,AL,1535,1720,554.0,0,1,0,0,0
51773,2006,2,1,XE,SHV,LA,2120,2217,192.0,1,0,0,0,0
51774,2006,2,5,XE,SLC,UT,2110,2329,1195.0,0,0,1,0,0
51775,2006,2,5,XE,BRO,TX,1440,1555,308.0,0,0,1,0,0
51776,2006,2,5,XE,LCH,LA,2115,2202,127.0,1,0,1,0,0
51777,2006,2,3,XE,RIC,VA,1920,2310,1157.0,1,0,0,0,0
51778,2006,2,1,XE,CRP,TX,910,1015,201.0,0,0,1,1,0
51779,2006,2,7,XE,DAL,TX,1200,1305,217.0,1,0,0,0,0
51780,2006,2,6,XE,MAF,TX,2100,2231,429.0,0,0,1,0,0
51781,2006,2,7,XE,BTR,LA,1100,1203,253.0,1,0,0,0,0
51782,2006,2,4,XE,MAF,TX,910,1039,429.0,0,0,0,0,1
51783,2006,2,3,XE,ICT,KS,900,1044,542.0,1,0,1,0,0
51784,2006,2,2,XE,PNS,FL,730,859,489.0,0,1,1,0,0
51785,2006,2,4,XE,MAF,TX,1135,1300,429.0,1,0,1,0,1
51786,2006,2,1,XE,MCI,MO,855,1050,643.0,0,0,0,1,0
51787,2006,2,7,XE,LBB,TX,1135,1308,458.0,1,0,0,0,0
51788,2006,2,6,XE,BFL,CA,930,1129,1428.0,0,1,0,0,1
51789,2006,2,4,XE,BOI,ID,925,1222,1482.0,0,0,1,0,0
51790,2006,2,4,XE,DAL,TX,2100,2205,217.0,1,0,0,0,0
51791,2006,2,3,XE,MEM,TN,1535,1705,469.0,1,0,0,0,0
51792,2006,2,5,XE,ELP,TX,1915,2019,667.0,1,0,0,0,0
51793,2006,2,3,XE,CRP,TX,1730,1832,201.0,0,0,0,1,1
51794,2006,2,6,XE,LRD,TX,1835,1953,301.0,0,0,1,0,0
51795,2006,2,1,XE,VPS,FL,1300,1435,528.0,1,0,0,0,0
51796,2006,2,5,XE,LBB,TX,1800,1935,458.0,0,1,1,0,1
51797,2006,2,4,XE,LBB,TX,1135,1308,458.0,0,0,1,0,1
51798,2006,2,4,XE,DSM,IA,1935,2158,802.0,1,0,0,0,1
51799,2006,2,2,XE,BRO,TX,1440,1557,308.0,1,0,1,0,0
51800,2006,2,2,XE,BNA,TN,1135,1330,657.0,0,1,1,0,1
51801,2006,2,6,XE,PBI,FL,1620,1947,956.0,0,0,1,0,0
51802,2006,2,5,XE,BRO,TX,1925,2045,308.0,1,0,1,0,0
51803,2006,2,1,XE,PHX,AZ,725,919,1009.0,0,0,1,1,0
51804,2006,2,2,XE,SDF,KY,1645,1959,788.0,1,0,0,0,1
51805,2006,2,1,XE,BTR,LA,1530,1633,253.0,1,0,1,0,0
51806,2006,2,5,XE,HSV,AL,1545,1730,595.0,0,1,1,0,0
51807,2006,2,3,XE,BRO,TX,1805,1920,308.0,0,0,0,1,0
51808,2006,2,7,XE,MCI,MO,1530,1727,643.0,1,0,1,0,0
51809,2006,2,3,XE,RDU,NC,1550,1925,1043.0,0,0,0,1,0
51810,2006,2,3,XE,XNA,AR,1310,1439,438.0,1,0,1,0,0
51811,2006,2,7,XE,ELP,TX,1905,2010,667.0,1,0,1,0,0
51812,2006,2,4,XE,TUS,AZ,1425,1605,936.0,0,0,0,0,1
51813,2006,2,1,XE,MOB,AL,740,859,427.0,1,0,1,0,0
51814,2006,2,2,XE,AMA,TX,1135,1310,519.0,0,0,1,0,0
51815,2006,2,3,XE,GPT,MS,1555,1715,376.0,1,0,0,0,0
51816,2006,2,2,XE,LFT,LA,1430,1525,201.0,0,1,1,0,1
51817,2006,2,1,XE,HRL,TX,1800,1912,295.0,0,0,1,0,0
51818,2006,2,2,XE,ATL,GA,905,1200,689.0,0,1,1,0,0
51819,2006,2,5,XE,LFT,LA,1030,1129,201.0,0,0,1,0,0
51820,2006,2,3,XE,BTR,LA,1730,1830,253.0,0,0,1,1,1
51821,2006,2,6,XE,OMA,NE,1115,1325,781.0,0,1,1,0,0
51822,2006,2,5,XE,DAL,TX,1330,1430,217.0,0,0,1,0,1
51823,2006,2,2,XE,TUS,AZ,1200,1345,936.0,1,0,0,0,0
51824,2006,2,6,XE,STL,MO,1112,1315,668.0,0,0,1,0,0
51825,2006,2,2,XE,BTR,LA,1425,1525,253.0,0,0,1,0,0
